MANDT	KUNNR	BANKS	BANKL	BANKN	BKONT	BVTYP	KOINH	XEZER
100	0000100000	DE	91950680	4373800733		0001	Hochmark Fördertechnik GmbH & Co. KG	
100	0000100001	DE	90948515	9580846447		0001	Eichau Zerspanung e.K.	
100	0000100002	DE	97216439	0857422185		0001	Westfurt Lebensmittel eG	
100	0000100003	IT	6932855066	567151872690		0001	Zederheim Werkzeugbau S.r.l.	
100	0000100007	DE	93487955	4327837245		0001	Fichtenmark Bauelemente GmbH & Co. KG	
100	0000100010	DE	96682470	9223586853		0001	Oststein Anlagenbau GmbH & Co. KG	
100	0000100014	DE	98984084	5455794923		0001	Espenbrück Maschinenbau UG (haftungsbeschränkt)	
100	0000100017	DE	90713066	0226171545		0001	Espenbrueck Maschinenbau UG (haftungsbeschraenkt)	
100	0000100018	FR	0633843343	93853935526		0001	Grünweg Handel S.A.	
100	0000100021	DE	98030794	5466069815		0001	Dornfeld Systemtechnik GmbH & Co. KG	
100	0000100022	DE	94637171	0921096372		0001	Rotfurt Sanitärtechnik GmbH & Co. KG	
100	0000100024	DE	90068539	8145887244		0001	Rotfurt Sanitaertechnik GmbH & Co. KG	
100	0000100028	DE	90468927	3886853694		0001	Dornburg Handel GmbH	
100	0000100030	DE	93752910	4335687567		0001	Steinfels Speditionen GmbH & Co. KG	
100	0000100032	DE	97503509	2916182895		0001	Steinfels Speditionen GmbH & Co. KG	
100	0000100034	IT	9959621428	410343615287		0001	Ostweg Schleiftechnik S.p.A.	
100	0000100038	DE	98799494	9330835062		0001	Eichfurt Lagertechnik GmbH	
100	0000100041	DE	94519516	0871182069		0001	Oststein Anlagenbau GmbH & Co. KG	
100	0000100043	DE	96924654	2718766856		0001	Weidenfurt Zerspanung GmbH	
100	0000100044	DE	96378329	4149052395		0001	Ostheim Logistik GmbH	
100	0000100046	DE	94625253	9419110876		0001	Eichfurt Lagertechnik G.m.b.H.	
100	0000100049	DE	95613637	5187186189		0001	Haseltal Verpackungen GmbH & Co. KG	
100	0000100050	NL	DTUB	8609536209		0001	Brandgrund Schleiftechnik B.V.	
100	0000100052	DE	94785156	2573686790		0001	Hartweg Hydraulik KGaA	
100	0000100053	AT	41786	88683165620		0001	Sandau Papier GmbH	
100	0000100054	DE	92990421	2363581485		0001	Haseltal Verpackungen GmbH & Co KG	
100	0000100056	DE	92094526	7406189753		0001	Steinwald Handel OHG	
100	0000100058	FR	2433405291	75436660950		0001	Brandbrück Stahlbau S.A.	
100	0000100060	DE	97187163	1772273033		0001	Steinwald Handel OHG	
100	0000100062	FR	7195136117	07305541694		0001	Ostfels Elektrotechnik S.A.R.L.	
100	0000100063	NL	RPQS	6351106668		0001	Rothof Recycling N.V.	
100	0000100068	AT	39058	42648679595		0001	Langfels Logistik KG	
100	0000100069	DE	90168342	4839206536		0001	Lärchenheim Möbelwerke AG	
100	0000100071	PL	86353505	1254340756947692		0001	Kleinfurt Aufzugstechnik Sp. z o.o.	
100	0000100072	PL	51594337	5068531543288722		0001	Kleintal Antriebstechnik S.A.	
100	0000100073	DE	92577282	0026061210		0001	Lärchenheim Möbelwerke AG	
100	0000100074	AT	09631	58104582039		0001	Kleinfeld Anlagenbau KG	
100	0000100076	DE	98490927	7259432038		0001	Waldau Speditionen GmbH & Co. KG	
100	0000100078	PL	84047842	1063311747696656		0001	Nordhof Stahlbau S.A.	
100	0000100079	IT	5620811390	579347117517		0001	Weidenstein Speditionen S.p.A.	
100	0000100083	DE	94832687	5583327919		0001	Waldau Bauelemente KGaA	
100	0000100084	DE	92581312	5353286271		0001	Waldau Bauelemente KGaA	
100	0000100085	DE	98256627	3697750508		0001	Feldhaus Recycling GmbH	
100	0000100086	DE	90654713	9149058270		0001	Hartweg Hydraulik KGaA	
100	0000100088	DE	91698314	6473065410		0001	Feldhaus Recycling GmbH	
100	0000100089	AT	89733	82644021203		0001	Rothof Schleiftechnik KG	
100	0000100090	DE	99226025	0183046469		0001	Haselstein Schweißtechnik GmbH & Co. KG	
100	0000100091	NL	GPBL	9100964083		0001	Rheintal Baustoffe N.V.	
100	0000100094	NL	YWCL	6593430389		0001	Birkengrund Fahrzeugteile B.V.	
100	0000100095	DE	92963312	2088689335		0001	Eichdorf Schleiftechnik GmbH	
100	0000100099	DE	91794066	2723444529		0001	Eichdorf Schleiftechnik	
100	0000100100	DE	91334251	9236733656		0001	Lindenbrück Messtechnik GmbH & Co. KG	
100	0000100103	DE	91976015	1170508055		0001	Wepdenfurt Zerspanung GmbH	
100	0000100108	NL	ORGP	3282785344		0001	Rheinwald Maschinenbau B.V.	
100	0000100111	IT	6986989538	291792931214		0001	Zedertal Pumpen S.r.l.	
100	0000100112	DE	98978998	2256938639		0001	Feldhaus Kunststofftechnik AG	
100	0000100116	DE	94763794	0801853827		0001	Weidenberg Speditionen UG (haftungsbeschränkt)	
100	0000100117	DE	90548509	9187185874		0001	Talhof Metallbau GmbH	
100	0000100118	DE	99267398	9440062594		0001	Reinfels Industrieservice KG	
100	0000100120	DE	98601479	3270954320		0001	Zederfurt Dichtungstechnik GmbH	
100	0000100122	DE	93943250	6365245456		0001	Kiefernstein Apparatebau GmbH	
100	0000100125	DE	99382059	8401708951		0001	Kiefernheim Papier GmbH & Co. KG	
100	0000100126	PL	90384565	5155507170925209		0001	Kleinberg Apparatebau S.A.	
100	0000100129	DE	94100199	3726913648		0001	Mühlberg Klimatechnik GmbH	
100	0000100130	DE	94934834	5897801785		0001	Südfels Druckguss GmbH	
100	0000100131	AT	07200	85620009328		0001	Steinhaus Papier GmbH	
100	0000100134	DE	93961545	3033897200		0001	Lärchenfurt Apparatebau GmbH	
100	0000100135	FR	1945674832	06540920405		0001	Brandhaus Systemtechnik S.A.R.L.	
100	0000100138	DE	91182766	8667013694		0001	Holunderfeld Klimatechnik GmbH	
100	0000100140	DE	98976067	2270369906		0001	Südwald Logistik GmbH	
100	0000100141	CH	66712	459686076221		0001	Eichried Elektrotechnik AG	
100	0000100143	DE	90987611	2274639834		0001	Dornfurt Verpackungen GmbH & Co. KG	
100	0000100144	PL	32533012	2784973845271464		0001	Espenbrück Möbelwerke S.A.	
100	0000100147	DE	97761521	2517238226		0001	Weißtal Apparatebau GmbH	
100	0000100152	DE	93260858	4356775480		0001	Talfurt Antriebstechnik GmbH	
100	0000100153	NL	NTUR	9918266860		0001	Fichtengrund Aufzugstechnik B.V.	
100	0000100156	FR	7898085456	70749802246		0001	Neubrück Klimatechnik S.A.	
100	0000100157	DE	96257099	6395559701		0001	Feldried Messtechnik UG (haftungsbeschränkt)	
100	0000100158	DE	97298268	9573403963		0001	Talhof Metallbau GmbH	
100	0000100159	DE	94845705	2089329057		0001	Ostwald Speditionen GmbH & Co. KG	
100	0000100161	DE	95587637	0350631423		0001	Ulmenwald Kunststofftechnik GmbH	
100	0000100162	DE	99093326	4422141221		0001	Lärchenfurt Werkzeugbau GmbH	
100	0000100163	PL	42572032	4848951812148524		0001	Kiefernau Zerspanung S.A.	
100	0000100165	DE	96354987	9325293060		0001	Nordbach Klimatechnik GmbH	
100	0000100168	PL	29425750	7768913399070998		0001	Lärchenau Anlagenbau Sp. z o.o.	
100	0000100171	DE	93658884	2765605490		0001	Südstein Hydraulik GmbH	
100	0000100172	DE	91728895	4226900785		0001	Falkenbrück Druckguss GmbH	
100	0000100176	PL	79788768	2550863827599453		0001	Erlenfeld Lebensmittel Sp. z o.o.	
100	0000100179	DE	95899531	2484831306		0001	Kiefernmark Kunststofftechnik KG	
100	0000100181	DE	95831971	0300238376		0001	Sandhof Anlagenbau GmbH & Co. KG	
100	0000100182	NL	LLVW	8493268522		0001	Holunderau Bedachungen B.V.	
100	0000100185	DE	92489594	3766674964		0001	Erlenmark Logistik e.K.	
100	0000100186	DE	92510912	3244322511		0001	Eichberg Stahlbau GmbH	
100	0000100188	DE	91147264	1363067639		0001	Lärchendorf Industrieservice AG	
