MANDT	LIFNR	BANKS	BANKL	BANKN	BKONT	BVTYP	KOINH	XEZER
100	0000200000	CH	09376	823609313221		0001	Neuweg Lagertechnik GmbH	
100	0000200001	DE	98886359	6880882577		0001	Südfels Systemtechnik UG (haftungsbeschränkt)	
100	0000200002	DE	96313427	3165884730		0001	Suedfels Systemtechnik UG (haftungsbeschraenkt)	
100	0000200003	DE	98431950	0980655853		0001	Holunderfeld Textilien e.K.	
100	0000200004	NL	QVKB	1392611604		0001	Lindenhaus Lebensmittel N.V.	
100	0000200005	DE	98824136	5099346168		0001	Althaus Metallbau GmbH	
100	0000200006	DE	98181882	3295453800		0001	Mühlbach Lagertechnik GmbH	
100	0000200007	DE	98271612	6023003031		0001	Holunderfeld Textilien e.K.	
100	0000200008	DE	93524922	5833611194		0001	Altwald Behälterbau GmbH & Co. KG	
100	0000200009	DE	91889542	6868514045		0001	Mühlbach Lagertechnik G.m.b.H.	
100	0000200010	DE	90685352	6596799867		0001	Altwald Behälterbau GmbH & Co KG	
100	0000200011	AT	84286	94243778601		0001	Südwald Fahrzeugteile KG	
100	0000200012	DE	98429796	6281493361		0001	Reinweg Hydraulik SE	
100	0000200014	DE	92635603	0241240913		0001	Dornweg Messtechnik GmbH	
100	0000200015	DE	98924681	8725735009		0001	Dornweg Messtechnik GmbH	
100	0000200017	DE	98808997	1752391717		0001	Lärchenweg Armaturen GmbH & Co. KG	
100	0000200021	DE	99670325	7392459236		0001	Lärchenweg Armaturen GmbH & Co. KG	
100	0000200023	DE	95294698	6936665927		0001	Espenried Pumpen OHG	
100	0000200024	FR	9915199071	14408190727		0001	Haselgrund Antriebstechnik S.A.R.L.	
100	0000200027	DE	90553525	4677939151		0001	Reinweg Hydraulik	
100	0000200029	DE	99458497	2863110260		0001	Birkenried Recycling KGaA	
100	0000200030	DE	97497461	2870462511		0001	Eichried Metallbau GmbH & Co. KG	
100	0000200031	DE	99676424	2226642893		0001	Eipenried Pumpen OHG	
100	0000200033	DE	93447081	0440236997		0001	Haseltal Armaturen e.K.	
100	0000200034	AT	44860	89139892712		0001	Sandmark Messtechnik AG	
100	0000200037	DE	97225384	0838948834		0001	Ostberg Anlagenbau GmbH	
100	0000200038	AT	20241	30374469782		0001	Steinburg Recycling KG	
100	0000200039	DE	90773795	6674969121		0001	Reindorf Papier GmbH	
100	0000200043	NL	CXOE	4503002084		0001	Rheinbach Metallbau B.V.	
100	0000200046	PL	48891339	1660034303460353		0001	Weißmark Hydraulik Sp. z o.o.	
100	0000200048	DE	99786843	9827818853		0001	Falkenwald Logistik GmbH	
100	0000200051	IT	0821705806	894671713428		0001	Haselmark Armaturen S.p.A.	
100	0000200052	IT	6703637816	722664244135		0001	Buchensee Handel S.p.A.	
100	0000200053	DE	97484069	2707028884		0001	Kleinwald Messtechnik GmbH	
100	0000200056	IT	1624963307	532506569941		0001	Weißweg Stahlbau S.r.l.	
100	0000200057	DE	96497002	6150113820		0001	Weidenried Formenbau GmbH & Co. KG	
100	0000200059	DE	91223032	7893148486		0001	Südau Haustechnik GmbH & Co. KG	
100	0000200060	DE	93783428	9346425738		0001	Ostweg Recycling GmbH & Co. KG	
100	0000200061	DE	90343827	4545889639		0001	Hartried Kunststofftechnik GmbH	
100	0000200063	CH	53300	680874391920		0001	Hartfels Getränke AG	
100	0000200064	DE	90718873	9149468270		0001	Espenfels Armaturen AG	
100	0000200067	DE	92064307	4472856212		0001	Feldhof Sanitärtechnik GmbH	
100	0000200068	DE	93472692	9199771215		0001	Haselheim Haustechnik KG	
100	0000200069	NL	PCIK	1863269072		0001	Haseltal Speditionen N.V.	
100	0000200071	DE	98465908	5529059415		0001	Eichried Speditionen GmbH	
100	0000200072	DE	93456463	5038866202		0001	Steinfels Chemie GmbH & Co. KG	
100	0000200073	DE	96075019	6696032493		0001	Falkenhaus Fördertechnik AG	
100	0000200074	DE	94720320	5048021202		0001	Nordhof Antriebstechnik KGaA	
100	0000200075	DE	90212621	5832649928		0001	Hochdorf Speditionen GmbH & Co. KG	
100	0000200077	DE	96097744	4260922287		0001	Haselhaus Papier GmbH	
100	0000200081	DE	99968115	2219277749		0001	Kleinbrück Klimatechnik GmbH	
100	0000200082	AT	21246	40018378104		0001	Buchengrund Werkzeugbau AG	
