MANDT	BANKS	BANKL	BANKN	BKONT	IBAN	VALID_FROM
100	AT	00017	32955649615		AT720001732955649615	20200520
100	AT	00730	87312467795		AT040073087312467795	20210623
100	AT	02602	04503436686		AT910260204503436686	20190319
100	AT	02623	82667468374		AT600262382667468374	20201215
100	AT	03030	55489804150		AT030303055489804150	20220406
100	AT	03580	65717564280		AT330358065717564280	20231119
100	AT	04722	52501665694		AT670472252501665694	20240723
100	AT	05662	84536133635		AT440566284536133635	20240113
100	AT	07093	27379394040		AT350709327379394040	20230221
100	AT	07200	85620009328		AT090720085620009328	20220328
100	AT	07976	08296174278		AT880797608296174278	20220401
100	AT	08706	25731983532		AT530870625731983532	20210416
100	AT	09115	87398480307		AT140911587398480307	20201124
100	AT	09174	48539811181		AT480917448539811181	20230717
100	AT	09207	47169701196		AT130920747169701196	20201125
100	AT	09631	58104582039		AT820963158104582039	20211107
100	AT	09656	18549400837		AT870965618549400837	20191224
100	AT	09987	26689754674		AT620998726689754674	20210211
100	AT	10982	92573509596		AT591098292573509596	20211006
100	AT	11178	48180675908		AT761117848180675908	20220607
100	AT	11361	98601456333		AT681136198601456333	20200108
100	AT	11443	05744777611		AT111144305744777611	20231221
100	AT	13657	08046473802		AT551365708046473802	20240617
100	AT	14387	14135697765		AT691438714135697765	20210910
100	AT	15199	54326787428		AT831519954326787428	20200112
100	AT	15609	22189900346		AT891560922189900346	20230905
100	AT	16071	71013071540		AT481607171013071540	20230419
100	AT	17030	32286514115		AT191703032286514115	20240115
100	AT	17477	57523423143		AT411747757523423143	20201122
100	AT	18244	28217171521		AT241824428217171521	20201023
100	AT	19098	33869269305		AT061909833869269305	20190924
100	AT	19541	88715542023		AT181954188715542023	20210208
100	AT	19963	05264379857		AT811996305264379857	20200310
100	AT	20241	30374469782		AT932024130374469782	20210224
100	AT	20532	67715283526		AT462053267715283526	20200421
100	AT	21246	40018378104		AT712124640018378104	20210122
100	AT	22042	44935157420		AT842204244935157420	20210331
100	AT	22859	75568163513		AT592285975568163513	20210927
100	AT	23906	53926879528		AT942390653926879528	20240212
100	AT	25563	28981731002		AT362556328981731002	20211210
100	AT	25953	58424822775		AT702595358424822775	20230225
100	AT	26672	45088774285		AT482667245088774285	20200709
100	AT	26829	88797612076		AT522682988797612076	20240209
100	AT	26963	17103159571		AT692696317103159571	20190314
100	AT	27738	56631310421		AT652773856631310421	20210430
100	AT	27963	68738387124		AT472796368738387124	20200327
100	AT	28165	40237306440		AT022816540237306440	20190213
100	AT	28792	04274747253		AT482879204274747253	20210724
100	AT	29404	80182985636		AT852940480182985636	20210620
100	AT	29668	95823826484		AT122966895823826484	20230926
100	AT	29825	16535745407		AT532982516535745407	20190327
100	AT	30824	91098167092		AT903082491098167092	20190306
100	AT	33360	68649674865		AT213336068649674865	20210217
100	AT	33607	94969876763		AT033360794969876763	20210806
100	AT	33694	76008492761		AT793369476008492761	20240509
100	AT	35775	26427393150		AT553577526427393150	20190129
100	AT	36000	78404078899		AT083600078404078899	20200522
100	AT	36016	38373339545		AT393601638373339545	20240630
100	AT	36466	39619880829		AT163646639619880829	20240806
100	AT	36489	31548654567		AT593648931548654567	20240824
100	AT	38029	33310717402		AT883802933310717402	20220506
100	AT	38481	70994039194		AT623848170994039194	20230131
100	AT	39058	42648679595		AT963905842648679595	20220224
100	AT	39235	85270907258		AT423923585270907258	20210131
100	AT	39524	45490446838		AT503952445490446838	20191228
100	AT	39918	75941513379		AT053991875941513379	20240719
100	AT	40132	15429649634		AT314013215429649634	20230122
100	AT	40632	29550918518		AT564063229550918518	20200823
100	AT	41334	11692312654		AT274133411692312654	20220622
100	AT	41343	93556513120		AT974134393556513120	20210317
100	AT	41786	88683165620		AT114178688683165620	20211115
100	AT	41911	14478613679		AT674191114478613679	20200228
100	AT	42029	54527030741		AT724202954527030741	20211010
100	AT	42722	64838877602		AT114272264838877602	20240709
100	AT	42960	97236075795		AT264296097236075795	20210531
100	AT	43075	95553962374		AT024307595553962374	20240114
100	AT	44134	23870256901		AT904413423870256901	20221022
100	AT	44841	36378401539		AT464484136378401539	20220103
100	AT	44860	89139892712		AT374486089139892712	20240819
100	AT	45306	14565828703		AT784530614565828703	20190418
100	AT	45772	58258400713		AT314577258258400713	20211230
100	AT	48219	48125323334		AT374821948125323334	20191004
100	AT	48220	21812203724		AT874822021812203724	20190404
100	AT	48954	78296144326		AT344895478296144326	20230126
100	AT	49073	33412920073		AT234907333412920073	20190618
100	AT	50947	17919134723		AT735094717919134723	20200509
100	AT	51761	66508264318		AT155176166508264318	20210418
100	AT	52043	15251981055		AT685204315251981055	20230913
100	AT	53011	30865757831		AT535301130865757831	20201105
100	AT	54523	26946267912		AT515452326946267912	20221019
100	AT	55753	33766818989		AT625575333766818989	20230319
100	AT	55905	99319377466		AT045590599319377466	20200224
100	AT	56417	41665658048		AT855641741665658048	20220328
100	AT	56780	98833039623		AT535678098833039623	20211208
100	AT	57156	70687774475		AT065715670687774475	20220102
100	AT	57683	19049254076		AT455768319049254076	20240117
100	AT	57899	43997667498		AT805789943997667498	20211202
100	AT	58021	86816184603		AT445802186816184603	20190710
100	AT	59547	04088458379		AT245954704088458379	20200301
100	AT	60264	16306724871		AT236026416306724871	20201221
100	AT	60827	56073435295		AT836082756073435295	20240428
100	AT	60896	50409628605		AT466089650409628605	20230727
100	AT	61687	93512462350		AT706168793512462350	20200803
100	AT	61744	49904717165		AT836174449904717165	20200131
100	AT	62312	16085961088		AT706231216085961088	20220505
100	AT	63848	06747822254		AT886384806747822254	20220327
100	AT	65484	85488823947		AT596548485488823947	20210702
100	AT	65752	14183936853		AT326575214183936853	20240606
100	AT	66102	45044290315		AT656610245044290315	20210121
100	AT	66526	39874796190		AT926652639874796190	20230528
100	AT	67418	84445062518		AT726741884445062518	20240319
100	AT	68028	94706121096		AT376802894706121096	20210918
100	AT	68788	67028571083		AT536878867028571083	20240117
100	AT	69636	44668192256		AT786963644668192256	20190509
100	AT	70141	56850005096		AT657014156850005096	20200428
100	AT	70971	70435546078		AT317097170435546078	20240619
100	AT	72867	92017593439		AT837286792017593439	20230325
100	AT	73346	35298416418		AT677334635298416418	20220403
100	AT	74559	68741319901		AT387455968741319901	20240719
100	AT	75591	34219965569		AT907559134219965569	20200301
100	AT	75602	58588030082		AT557560258588030082	20230322
100	AT	75604	80688596883		AT667560480688596883	20240709
100	AT	77485	18898160716		AT607748518898160716	20230619
100	AT	78306	69791575860		AT917830669791575860	20200523
100	AT	78390	59259243510		AT677839059259243510	20221015
100	AT	78437	21422455292		AT257843721422455292	20231005
100	AT	79541	16787883090		AT147954116787883090	20190205
100	AT	80239	08404338203		AT408023908404338203	20220129
100	AT	81514	63594938639		AT788151463594938639	20201027
100	AT	81673	91476135636		AT638167391476135636	20210719
100	AT	82095	99015242900		AT258209599015242900	20230701
100	AT	84286	94243778601		AT078428694243778601	20210506
100	AT	85405	61289261181		AT418540561289261181	20200424
100	AT	85590	36204715368		AT178559036204715368	20190113
100	AT	86191	96860892269		AT268619196860892269	20201005
100	AT	86507	41018590270		AT578650741018590270	20210408
100	AT	87034	31144372735		AT788703431144372735	20190701
100	AT	87092	35702757659		AT788709235702757659	20201214
100	AT	87706	46878843430		AT048770646878843430	20210620
100	AT	87790	93336206852		AT518779093336206852	20210903
100	AT	87904	88971827367		AT198790488971827367	20220728
100	AT	89733	82644021203		AT188973382644021203	20211208
100	AT	90011	27269134801		AT039001127269134801	20221214
100	AT	92950	41556568692		AT449295041556568692	20191210
100	AT	93139	25779032473		AT709313925779032473	20210810
100	AT	94072	77410261219		AT719407277410261219	20210529
100	AT	94202	40209230767		AT889420240209230767	20200210
100	AT	94777	97499800483		AT959477797499800483	20191229
100	AT	95459	32373591501		AT159545932373591501	20230706
100	AT	95782	99729188545		AT049578299729188545	20191219
100	AT	96064	76078817028		AT239606476078817028	20190128
100	AT	96607	71140718363		AT329660771140718363	20220718
100	AT	97809	85319038169		AT039780985319038169	20190710
100	CH	00583	353199266950		CH4300583353199266950	20240423
100	CH	02298	596050293904		CH2902298596050293904	20230422
100	CH	03916	654163369073		CH2503916654163369073	20190917
100	CH	05670	287442922717		CH2605670287442922717	20220624
100	CH	06357	242357748457		CH9506357242357748457	20220322
100	CH	06623	113780516008		CH0206623113780516008	20220515
100	CH	07947	696330306850		CH9207947696330306850	20191113
100	CH	08499	092945373680		CH4908499092945373680	20190321
100	CH	08697	527607095789		CH3508697527607095789	20220618
100	CH	09376	823609313221		CH6809376823609313221	20230918
100	CH	09696	326032697812		CH9509696326032697812	20201125
100	CH	10701	128141528646		CH9510701128141528646	20240318
100	CH	11211	471104930489		CH7611211471104930489	20190829
100	CH	12905	294964315112		CH7912905294964315112	20211227
100	CH	13581	109739795363		CH2513581109739795363	20200809
100	CH	14495	094519797860		CH9314495094519797860	20220822
100	CH	14757	971052577514		CH8314757971052577514	20190812
100	CH	14809	950406497143		CH7014809950406497143	20200414
100	CH	15730	896372557188		CH6815730896372557188	20191202
100	CH	16704	359537239617		CH1516704359537239617	20240128
100	CH	17088	196653914723		CH5317088196653914723	20220313
100	CH	19391	676665509904		CH1919391676665509904	20220324
100	CH	19501	209522145762		CH7219501209522145762	20240628
100	CH	20285	925846441966		CH6720285925846441966	20220428
100	CH	20695	919723943244		CH6820695919723943244	20211229
100	CH	20777	249055019683		CH2920777249055019683	20190321
100	CH	21354	007383459574		CH1921354007383459574	20221227
100	CH	21443	949031025037		CH5521443949031025037	20231106
100	CH	21454	865320187181		CH5921454865320187181	20240514
100	CH	21493	054854848249		CH1821493054854848249	20200213
100	CH	24006	900362086191		CH7924006900362086191	20230707
100	CH	25044	835435736272		CH5525044835435736272	20220904
100	CH	26184	166635117813		CH2326184166635117813	20231023
100	CH	27189	940218262450		CH2127189940218262450	20210317
