MANDT	KUNNR	BANKS	BANKL	BANKN	BKONT	BVTYP	KOINH	XEZER
100	0000103054	DE	99026528	4335982944		0001	Ostfurt Schleiftechnik GmbH	
100	0000103206	DE	90803966	3677453754		0001	Rheinwald Metallbau GmbH & Co. KG	
100	0000103215	DE	91020662	5709925846		0001	Dornbach Elektrotechnik UG (haftungsbeschränkt)	
100	0000103219	DE	95767880	0599788316		0001	Westwald Baustoffe GmbH	
100	0000103225	IT	6394104352	380927483978		0001	Erlenstein Lebensmittel S.r.l.	
100	0000103233	DE	93299021	0195016001		0001	Dornfeld Stahlbau e.K.	
100	0000103352	DE	94175364	9662465236		0001	Falkenbach Handel GmbH	
100	0000103363	DE	93071742	7390319026		0001	Sanddorf Aufzugstechnik UG (haftungsbeschränkt)	
100	0000103367	DE	97110804	9929490201		0001	Talwald Industrieservice GmbH	
100	0000103679	DE	96545730	0232491115		0001	Steinhaus Antriebstechnik GmbH & Co. KG	
100	0000103720	DE	91189360	8987550261		0001	Birkendorf Zerspanung UG (haftungsbeschränkt)	
